FileName,difficulty,diff,JPName,ENName,Vintage,SongName,Artist,Difficulty,Length,easy,med,hard,very hard,Genres,Tags
Gochuumon wa Usagi desu ka Bloom - Tenkuu Cafeteria by Petit Rabbit's,hard,hard,Gochuumon wa Usagi desu ka? Bloom,Is the Order a Rabbit? BLOOM,Fall 2020,Tenkuu Cafeteria,Petit Rabbit's,41,"89,04",,,,,Comedy; Slice of Life,Cute Girls Doing Cute Things; Primarily Female Cast; Female Protagonist; Primarily Teen Cast
Grisaia no Kajitsu - Rakuen no Tsubasa by Maon Kurosaki,hard,hard,Grisaia no Kajitsu,The Fruit of Grisaia,Fall 2014,Rakuen no Tsubasa,Maon Kurosaki,41,"89,544",,,,,Drama; Ecchi; Psychological; Romance,Tragedy; Primarily Teen Cast; Male Protagonist; Primarily Female Cast; School; Female Harem; Survival
Hagane no Renkinjutsushi - UNDO by Cool Joke,hard,hard,Hagane no Renkinjutsushi,Fullmetal Alchemist,Fall 2003,UNDO,Cool Joke,41,"89,496",,,,,Action; Adventure; Drama; Fantasy,Alchemy; Magic; Philosophy; Tragedy; Male Protagonist; Military; Shounen; Coming of Age
Higurashi no Naku Koro ni Sotsu - Analogy by Ayane,hard,hard,Higurashi no Naku Koro ni Sotsu,Higurashi: When They Cry - Sotsu,Summer 2021,Analogy,Ayane,41,"90,048",,,,,Horror; Mystery; Psychological; Supernatural; Thriller,Time Manipulation; Tragedy; Shrine Maiden; Denpa; Alternate Universe; Super Power; Revenge; Gore; Coming of Age; Female Protagonist; Yandere; Primarily Female Cast; Witch; Twins; School Club; Urban Fantasy; Suicide; Conspiracy; Dissociative Identities
Hypnosis Mic Division Rap Battle - Rhyme Anima+ - RISE FROM DEAD by Division All Stars,hard,hard,Hypnosis Mic: Division Rap Battle - Rhyme Anima+,HYPNOSISMIC: Division Rap Battle - Rhyme Anima Plus,Fall 2023,RISE FROM DEAD,Division All Stars,41,"95,184",,,,,Action; Music; Sci-Fi,Primarily Male Cast; Ensemble Cast; Super Power; Band; Urban; Gangs
Itsudatte Bokura no Koi wa 10 cm Datta. - Non Fantasy by LIP×LIP,hard,hard,Itsudatte Bokura no Koi wa 10 cm Datta.,Our Love Has Always Been 10 Centimeters Apart.,Fall 2017,Non Fantasy,LIP×LIP,41,"88,56",,,,,Drama; Romance; Slice of Life,School; Heterosexual; Drawing
Jashin-chan Dropkick - Ano Ko ni Dropkick by Jashin★Girls,hard,hard,Jashin-chan Dropkick,Dropkick on My Devil!,Summer 2018,Ano Ko ni Dropkick,Jashin★Girls,41,"87,72",,,,,Comedy; Slice of Life; Supernatural,Monster Girl; Slapstick; Demons; Primarily Female Cast; Urban Fantasy; LGBTQ+ Themes; Meta
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu o Samayou - Fanfare by BRADIO,hard,hard,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu o Samayou,"Reborn as a Vending Machine, I Now Wander the Dungeon",Summer 2023,Fanfare,BRADIO,41,"89,616",,,,,Adventure; Comedy; Fantasy,Language Barrier; Isekai; Reincarnation; Food; Magic; Dungeon; Parody
Karakai Jouzu no Takagi-san 2 - Zero Centimeter by Yuiko Ohara,hard,hard,Karakai Jouzu no Takagi-san 2,Teasing Master Takagi-san: Season 2,Summer 2019,Zero Centimeter,Yuiko Ohara,41,"87,048",,,,,Comedy; Romance; Slice of Life,Primarily Child Cast; School; Heterosexual; Episodic
Katekyo Hitman Reborn! - 88 by LM.C,hard,hard,Katekyo Hitman Reborn!,Reborn!,Fall 2006,88,LM.C,41,"88,704",,,,,Action; Comedy,Mafia; Shounen; Super Power; Male Protagonist; Primarily Male Cast; Age Regression; Time Skip
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka - Daisuki. by Ayaka Ohashi,hard,hard,Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,"Hensuki: Are You Willing to Fall in Love With a Pervert, As Long As She's a Cutie?",Summer 2019,Daisuki.,Ayaka Ohashi,41,"88,488",,,,,Comedy; Ecchi; Mystery; Romance,Female Harem; Heterosexual; Sadism; Human Pet
Kenja no Mago - Ultimate☆MAGIC by i☆Ris,hard,hard,Kenja no Mago,Wise Man's Grandchild,Spring 2019,Ultimate☆MAGIC,i☆Ris,41,"88,584",,,,,Action; Comedy; Fantasy; Romance,Magic; Male Protagonist; Isekai; Demons; School
Kenka Dokugaku - Wild Boy by MA55IVE THE RAMPAGE,hard,hard,Kenka Dokugaku,Viral Hit,Spring 2024,Wild Boy,MA55IVE THE RAMPAGE,41,"88,741",,,,,Action; Comedy,Martial Arts; Bullying; Male Protagonist; Primarily Teen Cast; Urban; Delinquents
Kimi ni Todoke 2nd Season - Sawakaze by Tomofumi Tanizawa,hard,hard,Kimi ni Todoke 2nd Season,Kimi ni Todoke: From Me to You Season 2,Winter 2011,Sawakaze,Tomofumi Tanizawa,41,"61,994",,,,,Comedy; Drama; Romance; Slice of Life,Shoujo; School; Female Protagonist
Kino no Tabi The Beautiful World - all the way by Mikuni Shimokawa,hard,hard,Kino no Tabi: The Beautiful World,Kino's Journey,Spring 2003,all the way,Mikuni Shimokawa,41,"89,544",,,,,Adventure; Drama; Fantasy; Psychological; Slice of Life,Philosophy; Episodic; Travel; Tragedy; Foreign; Meta; Motorcycles; Female Protagonist; Achronological Order
Koukyuu no Karasu - MYSTERIOUS by Ziyoou-vachi,hard,hard,Koukyuu no Karasu,Raven of the Inner Palace,Fall 2022,MYSTERIOUS,Ziyoou-vachi,41,"87,696",,,,,Drama; Fantasy; Mystery; Supernatural,Female Protagonist; Foreign; Historical; Primarily Adult Cast; Detective; Kuudere; Mythology
Log Horizon Entaku Houkai - Different by BAND-MAID,hard,hard,Log Horizon: Entaku Houkai,Log Horizon: Destruction of the Round Table,Winter 2021,Different,BAND-MAID,41,"89,04",,,,,Action; Adventure; Comedy; Fantasy,Virtual World; Isekai; Politics; Ensemble Cast
Macross Δ - Zettai Reido θ Novatic by Walküre,hard,hard,Macross Δ,Macross Delta,Spring 2016,Zettai Reido θ Novatic,Walküre,41,"89,208",,,,,Action; Mecha; Music; Romance; Sci-Fi,Idol; Military; War; Heterosexual; Space Opera; Male Protagonist; Female Protagonist; Space
"Meitantei Conan - Koi wa Thrill, Shock, Suspense by Rina Aiuchi",hard,hard,Meitantei Conan,Detective Conan,Winter 1996,"Koi wa Thrill, Shock, Suspense",Rina Aiuchi,41,"108,528",,,,,Adventure; Comedy; Mystery; Psychological,Detective; Tragedy; Crime; Espionage; Age Regression; Conspiracy; Police; Male Protagonist; Fugitive; Ensemble Cast; Episodic; Criminal Organization; Primarily Teen Cast; Heterosexual
Monogatari Series Second Season - chocolate insomnia by Yui Horie,hard,hard,Monogatari Series Second Season,Monogatari Series Second Season,Summer 2013,chocolate insomnia,Yui Horie,41,"89,736",,,,,Comedy; Drama; Mystery; Psychological; Romance; Supernatural,Urban Fantasy; Coming of Age; Ensemble Cast; Primarily Teen Cast; Youkai; Philosophy; Yandere; Primarily Female Cast; Achronological Order; Anti-Hero; Unrequited Love; Vampire
Monogatari Series Second Season - happy bite by Emiri Katou,hard,hard,Monogatari Series Second Season,Monogatari Series Second Season,Summer 2013,happy bite,Emiri Katou,41,"89,544",,,,,Comedy; Drama; Mystery; Psychological; Romance; Supernatural,Urban Fantasy; Coming of Age; Ensemble Cast; Primarily Teen Cast; Youkai; Philosophy; Yandere; Primarily Female Cast; Achronological Order; Anti-Hero; Unrequited Love; Vampire
Mononoke - Kagen no Tsuki by Ryouta Komatsu×Charlie Kosei,hard,hard,Mononoke,Mononoke,Summer 2007,Kagen no Tsuki,Ryouta Komatsu×Charlie Kosei,41,"78,393",,,,,Fantasy; Horror; Mystery; Psychological; Supernatural,Youkai; Demons; Ghost; Historical; Detective; Exorcism; Ensemble Cast; Anthology; Philosophy
Naruto Shippuuden - Guren by DOES,hard,hard,Naruto Shippuuden,Naruto Shippuuden,Winter 2007,Guren,DOES,41,"88,92",,,,,Action; Adventure; Comedy; Drama; Fantasy; Supernatural,Ninja; Shounen; Male Protagonist; Super Power; Tragedy; Orphan; Revenge; War; Martial Arts; Coming of Age; Conspiracy
Naruto Shippuuden - Kara no Kokoro by Anly,hard,hard,Naruto Shippuuden,Naruto Shippuuden,Winter 2007,Kara no Kokoro,Anly,41,"88,968",,,,,Action; Adventure; Comedy; Drama; Fantasy; Supernatural,Ninja; Shounen; Male Protagonist; Super Power; Tragedy; Orphan; Revenge; War; Martial Arts; Coming of Age; Conspiracy
