FileName,difficulty,diff,JPName,ENName,Vintage,SongName,Artist,Difficulty,Length,easy,med,hard,very hard,Genres,Tags
I Left My A-Rank Party to Help My Former Students Reach the Dungeon Depths! - Enter by L.E.I. [amq-79143].webm,easy,easy,"A-Rank Party o Ridatsu Shita Ore wa, Moto Oshiego-tachi to Meikyuu Shinbu o Mezasu.",I Left My A-Rank Party to Help My Former Students Reach the Dungeon Depths!,Winter 2025,Enter,L.E.I.,30,"89,436",,,,,,
Cardfight!! Vanguard Divinez Deluxe Arc - Meramera by Kis-My-Ft2 [amq-79131].webm,easy,easy,Cardfight!! Vanguard Divinez Deluxe-hen,Cardfight!! Vanguard Divinez Deluxe Arc,Winter 2025,Meramera,Kis-My-Ft2,28,"89,104",,,,,,
Farmagia - Life is Beautiful by ASIAN KUNG-FU GENERATION [amq-79125].webm,easy,easy,Farmagia,Farmagia,Winter 2025,Life is Beautiful,ASIAN KUNG-FU GENERATION,30,"89,394",,,,,,
"The 100 Girlfriends Who Really, Really, Really, Really, REALLY Love You - Arigato, Daisuki ni Natte Kurete by Rentarou Family [amq-79156].webm",hard,hard,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,"The 100 Girlfriends Who Really, Really, Really, Really, REALLY Love You",Winter 2025,"Arigato, Daisuki ni Natte Kurete",Rentarou Family,62,"88,436",,,,,,
Zenshu - Zen by BAND-MAID [amq-79153].webm,medium,medium,Zenshu,Zenshu,Winter 2025,Zen,BAND-MAID,43,"89,638",,,,,,
Kinnikuman Perfect Origin Arc - Kinnikuman Eiyuu by Masaaki Endoh [amq-79154].webm,easy,easy,Kinnikuman: Perfect Origin-hen,Kinnikuman: Perfect Origin Arc,Winter 2025,Kinnikuman Eiyuu,Masaaki Endoh,29,"89,679",,,,,,
Ishura - True Peak by Mayu Maeshima [amq-79163].webm,easy,easy,Ishura,Ishura,Winter 2025,True Peak,Mayu Maeshima,33,"89,435",,,,,,
The Daily Life of a Middle-Aged Online Shopper in Another World - GIVE & TAKE by Asaka [amq-79166].webm,easy,easy,Arafou Otoko no Isekai Tsuuhan,The Daily Life of a Middle-Aged Online Shopper in Another World,Winter 2025,GIVE & TAKE,Asaka,27,"88,894",,,,,,
The Red Ranger Becomes an Adventurer in Another World - Cuz I by Hikaru Makishima [amq-79175].webm,easy,easy,Sentai Red Isekai de Boukensha ni Naru,The Red Ranger Becomes an Adventurer in Another World,Winter 2025,Cuz I,Hikaru Makishima,29,"89,131",,,,,,
The Red Ranger Becomes an Adventurer in Another World - Saa Ikou! Kizuna Five by Ryusei [amq-79371].webm,easy,easy,Sentai Red Isekai de Boukensha ni Naru,The Red Ranger Becomes an Adventurer in Another World,Winter 2025,Saa Ikou! Kizuna Five,Ryusei,35,"43,794",,,,,,
You and Idol Precure - Kimi to Idol Precure♪ Light Up! by Chihaya Yoshitake・Ami Ishii・Akane Kumada [amq-79225].webm,medium,medium,Kimi to Idol Precure♪,You and Idol Precure,Winter 2025,Kimi to Idol Precure♪ Light Up!,Chihaya Yoshitake・Ami Ishii・Akane Kumada,42,"88,555",,,,,,
"You and Idol Precure - Kimi to Idol Precure♪ Light Up! ReMix for You and Idol Precure♪ by Misato Matsuoka, Minami Takahashi, Natsumi Takamori, Yoshino Nanjo, Miharu Hanai [amq-80683].webm",easy,easy,Kimi to Idol Precure♪,You and Idol Precure,Winter 2025,Kimi to Idol Precure♪ Light Up! ReMix for You and Idol Precure♪,"Misato Matsuoka, Minami Takahashi, Natsumi Takamori, Yoshino Nanjo, Miharu Hanai",39,"88,108",,,,,,
Lockdown Zone Level X - LUCID DREAM by SG [amq-78455].webm,easy,easy,Kankin Kuiki Level X,Lockdown Zone: Level X,Winter 2025,LUCID DREAM,SG,25,"89,029",,,,,,
Re Zero Starting Life in Another World - Reweave by Konomi Suzuki [amq-78740].webm,hard,hard,Re:Zero kara Hajimeru Isekai Seikatsu,Re:Zero: Starting Life in Another World,Winter 2025,Reweave,Konomi Suzuki,69,"88,720",,,,,,
Transformers Wild King - Wild King by NAO ANNO [amq-79425].webm,easy,easy,Transformers: Wild King,Transformers: Wild King,Winter 2025,Wild King,NAO ANNO,28,"30,772",,,,,,
Ringing Fate - Risoukyou by ICEx [amq-81123].webm,easy,easy,Ringing Fate,Ringing Fate,Winter 2025,Risoukyou,ICEx,13,"89,186",,,,,,
Fire Force Season 3 - Tsuyobi by Ziyoou-vachi [amq-79489].webm,medium,medium,Enen no Shouboutai: San no Shou,Fire Force Season 3,Spring 2025,Tsuyobi,Ziyoou-vachi,48,"88,975",,,,,,
Miru Paths To My Future - Ai Uta by V.W.P [amq-79477].webm,easy,easy,Miru: Watashi no Mirai,Miru: Paths To My Future,Spring 2025,Ai Uta,V.W.P,30,"88,812",,,,,,
Your Forma - GRIDOUT by yama [amq-79472].webm,easy,easy,Your Forma,Your Forma,Spring 2025,GRIDOUT,yama,34,"87,644",,,,,,
Yaiba Samurai Legend - BLADE by BLUE ENCOUNT [amq-79494].webm,easy,easy,Shin Samurai-den Yaiba,Yaiba: Samurai Legend,Spring 2025,BLADE,BLUE ENCOUNT,32,"89,596",,,,,,
Guilty Gear Strive Dual Rulers - AXCLUSION by ulma sound junction [amq-79503].webm,easy,easy,Guilty Gear Strive: Dual Rulers,Guilty Gear Strive: Dual Rulers,Spring 2025,AXCLUSION,ulma sound junction,29,"88,715",,,,,,
Wind Breaker Season 2 - BOYZ by SixTONES [amq-79480].webm,easy,easy,Wind Breaker Season 2,Wind Breaker Season 2,Spring 2025,BOYZ,SixTONES,38,"88,645",,,,,,
Classic★Stars - Singularist by Yuuma Uchida [amq-79508].webm,easy,easy,Classic★Stars,Classic★Stars,Spring 2025,Singularist,Yuuma Uchida,37,"89,679",,,,,,
Black Butler Emerald Witch Arc - MAISIE Produced by HYDE by Co shu Nie [amq-79498].webm,easy,easy,Kuroshitsuji: Midori no Majo-hen,Black Butler: Emerald Witch Arc,Spring 2025,MAISIE Produced by HYDE,Cö shu Nie,38,"117,254",,,,,,
From Old Country Bumpkin to Master Swordsman - HEROES by Takanori Nishikawa [amq-79506].webm,easy,easy,"Katainaka no Ossan, Kensei ni Naru",From Old Country Bumpkin to Master Swordsman,Spring 2025,HEROES,Takanori Nishikawa,30,"89,187",,,,,,
Witch Watch - Watch me! by YOASOBI [amq-79518].webm,hard,hard,Witch Watch,Witch Watch,Spring 2025,Watch me!,YOASOBI,62,"88,936",,,,,,
Witch Watch - Tokihanate! by Hashimero [amq-79921].webm,medium,medium,Witch Watch,Witch Watch,Spring 2025,Tokihanate!,Hashimero,41,"89,186",,,,,,
Witch Watch - Bitter end by Who-ya Extended [amq-80005].webm,easy,easy,Witch Watch,Witch Watch,Spring 2025,Bitter end,Who-ya Extended,31,"90,062",,,,,,
Uma Musume Cinderella Gray - Koeru by [Alexandros] [amq-79516].webm,medium,medium,Uma Musume: Cinderella Gray,Uma Musume: Cinderella Gray,Spring 2025,Koeru,[Alexandros],56,"89,062",,,,,,
SHOSHIMIN How to Become Ordinary - Kaseijin by Yorushika [amq-79510].webm,medium,medium,Shoushimin Series,SHOSHIMIN: How to Become Ordinary,Spring 2025,Kaseijin,Yorushika,45,"87,134",,,,,,
Kowloon Generic Romance - Summertime Ghost by Wednesday Campanella [amq-79496].webm,medium,medium,Kowloon Generic Romance,Kowloon Generic Romance,Spring 2025,Summertime Ghost,Wednesday Campanella,47,"89,748",,,,,,
