Year,Season,Rank,Title,English Title,Romaji Title,Wymagane,Ile jest,Brakuje,Kolumna1,,,,
2024,FALL,9,Is It Wrong To Try To Pick Up Girls in a Dungeon V,Is It Wrong To Try To Pick Up Girls in a Dungeon? V,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen,5,5,0,,,,,
2024,FALL,10,Arifureta From Commonplace to World's Strongest Season 3,Arifureta: From Commonplace to World's Strongest Season 3,Arifureta Shokugyou de Sekai Saikyou 3rd season,5,4,1,,,,,
2024,FALL,11,Seirei Gensouki Spirit Chronicles Season 2,Seirei Gensouki: Spirit Chronicles Season 2,Seirei Gensouki 2,3,3,0,,,,,
2024,FALL,12,Dragon Ball DAIMA,Dragon Ball DAIMA,Dragon Ball DAIMA,3,3,0,,,,,
2024,FALL,13,Ranma12 (2024),Ranma1/2 (2024),Ranma 1/2 (2024),3,4,-1,,,,,
2024,FALL,14,You are Ms. Servant,Loner Life in Another World,Hitoribocchi no Isekai Kouryaku,3,3,0,,,,,
2024,FALL,15,Loner Life in Another World,You are Ms. Servant,Kimi wa Meido-sama.,3,3,0,,,,,
2024,FALL,16,DEMON LORD 2099,DEMON LORD 2099,Maou 2099,3,3,0,,,,,
2024,FALL,17,Let This Grieving Soul Retire,Let This Grieving Soul Retire,Nageki no Bourei wa Intai Shitai,3,3,0,,,,,
2024,FALL,18,Yakuza Fiancé Raise wa Tanin ga Ii,Yakuza Fiancé: Raise wa Tanin ga Ii,Raise wa Tanin ga Ii,3,3,0,,,,,
2024,FALL,19,The Most Notorious Talker Runs the World's Greatest Clan,"The Most Notorious ""Talker"" Runs the World's Greatest Clan",Saikyou no Shien-shoku [Wajutsushi] Dearu Ore wa Sekai Saikyou Clan wo Shitagaeru,3,3,0,,,,,
2024,FALL,20,I’ll Become a Villainess Who Goes Down in History,I’ll Become a Villainess Who Goes Down in History,Rekishi ni Nokoru Akujo ni Naruzo,3,3,0,,,,,
2024,SUMMER,1,Alya Sometimes Hides Her Feelings in Russian,Alya Sometimes Hides Her Feelings in Russian,Tokidoki Bosotto Russiago de Dereru Tonari no Alya-san,7,7,0,,,,,
2024,SUMMER,2,Oshi no Ko Season 2,Oshi no Ko Season 2,[Oshi no Ko] 2nd Season,7,7,0,,,,,
2024,SUMMER,3,Wistoria Wand and Sword,Wistoria: Wand and Sword,Tsue to Tsurugi no Wistoria,7,7,0,,,,,
2024,SUMMER,4,Tower of God Season 2,Tower of God Season 2,Kami no Tou: Tower of God 2nd Season,7,7,0,,,,,
2024,SUMMER,5,Makeine Too Many Losing Heroines!,Makeine: Too Many Losing Heroines!,Make Heroine ga Oosugiru!,7,7,0,,,,,
2024,SUMMER,6,My Deer Friend Nokotan,My Deer Friend Nokotan,Shikanoko Nokonoko Koshitantan,5,7,-2,,,,,
2024,SUMMER,7,No Longer Allowed in Another World,No Longer Allowed in Another World,Isekai Shikkaku,5,5,0,,,,,
2024,SUMMER,8,The Elusive Samurai,The Elusive Samurai,Nige Jouzu no Wakagimi,5,5,0,,,,,
2024,SUMMER,9,Failure Frame I Became the Strongest and Annihilated Everything with Low-Level Spells,Failure Frame: I Became the Strongest and Annihilated Everything with Low-Level Spells,Hazure Waku no [Joutai Ijou Skill] de Saikyou ni Natta Ore ga Subete wo Juurin Suru made,5,3,2,,,,,
2024,SUMMER,10,Pseudo Harem,Pseudo Harem,Giji Harem,5,5,0,,,,,
2024,SUMMER,11,I Parry Everything,I Parry Everything,Ore wa Subete wo [Parry] Suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai,3,3,0,,,,,
2024,SUMMER,12,Days with My Stepsister,Days with My Stepsister,Gimai Seikatsu,3,3,0,,,,,
2024,SUMMER,13,"The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible","The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible","Shinmai Ossan Bouken-sha, Saikyou Party ni Shinu Hodo Kitaerarete Muteki ni Naru.",3,3,0,,,,,
2024,SUMMER,14,Suicide Squad ISEKAI,Suicide Squad ISEKAI,Isekai Suicide Squad,3,3,0,,,,,
2024,SUMMER,15,OVERLORD The Sacred Kingdom,OVERLORD: The Sacred Kingdom,Overlord: Sei Oukoku-hen,3,,3,,,,,
2024,SUMMER,16,SHOSHIMIN How to Become Ordinary,SHOSHIMIN: How to Become Ordinary,Shoushimin Series,3,3,0,,,,,
2024,SUMMER,17,2.5 Dimensional Seduction,2.5 Dimensional Seduction,2.5 Jigen no Ririsa,3,4,-1,,,,,
2024,SUMMER,18,FAIRY TAIL 100 YEARS QUEST,FAIRY TAIL 100 YEARS QUEST,FAIRY TAIL: 100 YEARS QUEST,3,3,0,,,,,
2024,SUMMER,19,Why Does Nobody Remember Me in This World,Why Does Nobody Remember Me in This World?,Naze Boku no Sekai wo Daremo Oboeteinai no ka?,3,3,0,,,,,
2024,SUMMER,20,The Strongest Magician in the Demon Lord's Army was a Human,The Strongest Magician in the Demon Lord's Army was a Human,Maou Gun Saikyou no Majutsushi wa Ningen datta,3,3,0,,,,,
2024,SPRING,1,Kaiju No.8,Kaiju No.8,Kaijuu 8-gou,7,6,1,,,,,
2024,SPRING,2,Demon Slayer Kimetsu no Yaiba Hashira Training Arc,Demon Slayer: Kimetsu no Yaiba Hashira Training Arc,Kimetsu no Yaiba: Hashira Geiko-hen,7,6,1,,,,,
2024,SPRING,3,Mushoku Tensei Jobless Reincarnation Season 2 Part 2,Mushoku Tensei: Jobless Reincarnation Season 2 Part 2,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,7,5,2,,,,,
2024,SPRING,4,WIND BREAKER,WIND BREAKER,WIND BREAKER,7,6,1,,,,,
2024,SPRING,5,KONOSUBA -God's blessing on this wonderful world! 3,KONOSUBA -God's blessing on this wonderful world! 3,Kono Subarashii Sekai ni Shukufuku wo! 3,7,7,0,,,,,
2024,SPRING,6,That Time I Got Reincarnated as a Slime Season 3,That Time I Got Reincarnated as a Slime Season 3,Tensei Shitara Slime Datta Ken 3rd Season,5,5,0,,,,,
2024,SPRING,7,My Hero Academia Season 7,My Hero Academia Season 7,Boku no Hero Academia 7,5,4,1,,,,,
2024,SPRING,8,Spice and Wolf MERCHANT MEETS THE WISE WOLF,LOOK BACK,Look Back,5,5,0,,,,,
2024,SPRING,9,LOOK BACK,Spice and Wolf: MERCHANT MEETS THE WISE WOLF,Ookami to Koushinryou: MERCHANT MEETS THE WISE WOLF,5,,5,,,,,
2024,SPRING,10,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,"Tensei Shitara Dai Nana Ouji Dattanode, Kimamani Majutsu wo Kiwamemasu",5,5,0,,,,,
2024,SPRING,11,Chillin' in Another World with Level 2 Super Cheat Powers,Chillin' in Another World with Level 2 Super Cheat Powers,Lv2 Kara Cheat datta Moto Yuusha Kouho no Mattari Isekai Life,3,3,0,,,,,
2024,SPRING,12,Go! Go! Loser Ranger!,Go! Go! Loser Ranger!,Sentai Daishikkaku,3,5,-2,,,,,
